Tanggal,Aktual,Prediksi
2017-01-01,8240,9301.733644738953
2017-02-01,8435,9249.127124290022
2017-03-01,8665,9554.905680145446
2017-04-01,8900,9750.19161621878
2017-05-01,9235,10009.73380807701
2017-06-01,9760,10059.742236311753
2017-07-01,9790,10147.6100872024
2017-08-01,10110,10144.52169952458
2017-09-01,9795,9987.204048913614
2017-10-01,9920,9917.274707871014
2017-11-01,9860,9490.69658498135
2017-12-01,11180,9395.657877130963
