Tanggal,Aktual,Prediksi
2017-01-01,8240,8182.302629512252
2017-02-01,8435,8607.211349343645
2017-03-01,8665,8616.636836774092
2017-04-01,8900,8823.916626312459
2017-05-01,9235,9214.010067368441
2017-06-01,9760,9800.112600276276
2017-07-01,9790,9830.24822206765
2017-08-01,10110,9974.0546188918
2017-09-01,9795,9898.27080995879
2017-10-01,9920,9777.36862070595
2017-11-01,9860,9645.047592257511
2017-12-01,11180,10762.066102301254
